,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2020-05-04,2021636,96211742,47.9,47.9,47.25,47.7,-1.23,931
1,2020-05-05,1180558,56432349,47.9,47.97,47.65,47.78,0.08,381
2,2020-05-06,2296341,109636652,47.89,47.91,47.48,47.74,-0.04,469
3,2020-05-07,1317378,63173134,47.76,48.22,47.71,48.04,0.3,341
4,2020-05-08,1069669,51619023,48.2,48.51,48.11,48.29,0.25,306
5,2020-05-11,1533795,74819266,48.79,48.92,48.52,48.72,0.43,537
6,2020-05-12,1613629,77705034,48.5,48.5,47.96,48.1,-0.62,731
7,2020-05-13,897462,43184798,47.8,48.31,47.8,48.25,0.15,307
8,2020-05-14,1068511,51152337,47.99,48.05,47.67,47.7,-0.55,598
9,2020-05-15,772084,37000365,48.03,48.19,47.6,47.91,0.21,301
10,2020-05-18,1638158,77976502,47.64,47.71,47.42,47.5,-0.41,485
11,2020-05-19,585700,28074817,48.13,48.14,47.8,47.95,0.45,278
12,2020-05-20,716166,34365238,48.03,48.14,47.84,47.95,0.0,270
13,2020-05-21,865606,41810237,48.08,48.4,48.08,48.37,0.42,360
14,2020-05-22,1683336,80215904,48.0,48.0,47.5,47.56,-0.81,899
15,2020-05-25,802439,38109105,47.56,47.7,47.15,47.68,0.12,323
16,2020-05-26,1518720,73452572,47.86,48.46,47.86,48.38,0.7,569
17,2020-05-27,830077,40133369,48.39,48.57,48.15,48.28,-0.1,277
18,2020-05-28,947979,45611059,48.4,48.53,47.89,48.0,-0.28,329
19,2020-05-29,913418,43717936,47.72,48.23,47.52,48.23,0.23,289
20,2020-06-01,911578,44274241,48.25,48.66,48.25,48.56,0.33,369
21,2020-06-02,720015,35188436,48.63,48.91,48.63,48.9,0.34,327
22,2020-06-03,1311772,64918166,49.16,49.72,49.16,49.71,0.81,551
23,2020-06-04,2049342,102275510,49.98,50.05,49.72,49.97,0.26,582
24,2020-06-05,1395865,70074780,50.0,50.4,50.0,50.35,0.38,716
25,2020-06-08,2143018,109202518,50.6,51.25,50.6,51.0,0.65,901
26,2020-06-09,819019,41811419,51.2,51.2,50.75,51.2,0.2,442
27,2020-06-10,812374,41863836,51.15,51.75,51.15,51.65,0.45,476
28,2020-06-11,1343600,68841452,51.75,51.95,50.8,50.85,-0.8,757
29,2020-06-12,1295665,65029990,49.76,50.5,49.74,50.35,-0.5,635
30,2020-06-15,949566,47538469,50.35,50.45,49.69,49.76,-0.59,548
31,2020-06-16,1400081,71054728,50.35,51.0,50.35,50.9,1.14,474
32,2020-06-17,793331,40235334,51.0,51.0,50.55,50.8,-0.1,334
33,2020-06-18,496760,25200643,50.8,50.9,50.5,50.85,0.05,192
34,2020-06-19,431500,21935435,50.85,50.95,50.7,50.8,-0.05,179
35,2020-06-22,715539,36488789,50.85,51.25,50.85,51.0,0.2,406
36,2020-06-23,857061,43845041,51.4,51.4,50.85,51.2,0.2,310
37,2020-06-24,590504,30374536,51.4,51.65,51.35,51.4,0.2,308
38,2020-06-29,1186703,60464847,51.2,51.25,50.75,51.0,-0.4,507
39,2020-06-30,734567,37606624,51.05,51.35,51.05,51.35,0.35,346
40,2020-07-01,595103,30780694,51.4,51.8,51.4,51.75,0.4,327
41,2020-07-02,579282,30159629,51.75,52.2,51.75,52.2,0.45,411
42,2020-07-03,552569,29116504,52.55,52.85,52.5,52.8,0.6,430
43,2020-07-06,1889538,101348639,52.9,53.85,52.9,53.75,0.95,848
44,2020-07-07,1159430,62636127,54.1,54.45,53.75,53.9,0.15,768
45,2020-07-08,917584,49787821,53.9,54.35,53.85,54.35,0.45,545
46,2020-07-09,1032211,56253424,54.5,54.75,54.35,54.4,0.05,548
47,2020-07-10,1084795,58843580,54.65,54.7,53.85,54.05,-0.35,591
48,2020-07-13,1946813,106144735,54.5,54.8,54.3,54.8,0.75,609
49,2020-07-14,994861,54624265,54.8,55.2,54.65,55.2,0.4,526
50,2020-07-15,1408368,78048022,55.4,55.85,55.1,55.4,0.2,659
51,2020-07-16,1229664,67623171,55.35,55.4,54.7,54.95,-0.45,585
52,2020-07-17,774629,42965690,55.25,55.75,55.1,55.4,0.45,457
53,2020-07-20,995534,55118545,55.5,55.55,55.0,55.5,0.1,506
54,2020-07-21,1490962,83696753,55.45,56.5,55.45,56.3,0.0,830
55,2020-07-22,970664,54818851,56.3,56.75,56.25,56.45,0.15,513
56,2020-07-23,834926,46955017,56.45,56.45,56.0,56.4,-0.05,423
57,2020-07-24,2178705,122815167,56.6,57.0,55.85,56.2,-0.2,730
58,2020-07-27,2527023,148407730,58.2,59.0,58.1,58.95,2.75,1436
59,2020-07-28,2955784,179562506,61.3,63.2,58.85,59.1,0.15,2080
60,2020-07-29,1068295,62837279,58.85,59.25,58.2,58.55,-0.55,716
61,2020-07-30,823241,48870584,59.45,59.8,59.0,59.5,0.95,574
62,2020-07-31,753661,44727328,59.3,59.6,59.1,59.3,-0.2,501
63,2020-08-03,981810,57596200,59.1,59.2,58.35,58.4,-0.9,964
64,2020-08-04,342096,20169864,58.6,59.15,58.6,59.1,0.7,447
65,2020-08-05,876842,52262326,59.5,59.8,59.3,59.6,0.5,456
66,2020-08-06,1302866,78444941,60.2,60.5,60.0,60.25,0.65,659
67,2020-08-07,817324,48942701,60.25,60.25,59.65,59.85,-0.4,611
68,2020-08-10,638399,38480954,59.75,60.5,59.7,60.35,0.5,490
69,2020-08-11,676559,40720390,60.3,60.4,59.95,59.95,-0.4,459
70,2020-08-12,825689,48932414,59.75,59.75,59.0,59.1,-0.85,729
71,2020-08-13,812691,48445894,59.65,59.95,59.5,59.75,0.65,402
72,2020-08-14,740128,44133568,59.55,59.8,59.2,59.7,-0.05,285
73,2020-08-17,1084075,65339554,59.7,60.45,59.65,60.35,0.65,578
74,2020-08-18,591672,35579551,60.4,60.5,59.95,60.05,-0.3,375
75,2020-08-19,614723,36815020,60.05,60.4,59.55,59.6,-0.45,530
76,2020-08-20,2635089,152988575,59.45,59.45,56.7,57.8,-1.8,2008
77,2020-08-21,1289734,75691533,58.25,58.95,58.25,58.85,1.05,726
78,2020-08-24,609418,35954870,59.0,59.25,58.7,59.05,0.2,395
79,2020-08-25,676740,40170496,59.2,59.65,59.05,59.3,0.25,422
80,2020-08-26,687606,40998586,59.4,59.8,59.35,59.7,0.4,412
81,2020-08-27,1147402,68835441,60.1,60.55,59.7,59.7,0.0,481
82,2020-08-28,955604,56541438,59.4,59.6,58.9,59.25,-0.45,626
83,2020-08-31,985740,57966660,59.4,59.6,58.55,58.55,-0.7,607
84,2020-09-01,713218,41872549,58.55,59.0,58.3,58.95,0.4,334
85,2020-09-02,554508,32567281,59.5,59.5,58.5,58.9,-0.05,314
86,2020-09-03,681249,40308044,59.25,59.5,58.9,59.05,0.15,361
87,2020-09-04,1178326,68899034,58.4,58.7,58.25,58.5,-0.55,691
88,2020-09-07,1210403,70962086,58.5,58.9,58.35,58.5,0.0,432
89,2020-09-08,545548,32061104,58.5,59.0,58.5,58.9,0.4,369
90,2020-09-09,917756,53343208,58.2,58.6,57.85,58.6,-0.3,506
91,2020-09-10,632974,37274716,58.95,59.0,58.7,59.0,0.4,353
92,2020-09-11,743054,43793786,59.0,59.05,58.75,59.0,0.0,248
93,2020-09-14,1097919,65292618,59.05,59.6,59.05,59.55,0.55,485
94,2020-09-15,390780,23362368,59.55,59.95,59.5,59.9,0.35,370
95,2020-09-16,2292427,139265076,60.8,61.0,60.6,60.7,0.8,860
96,2020-09-17,1178103,70805430,60.5,60.55,59.9,60.0,-0.7,476
97,2020-09-18,785194,47129840,60.0,60.1,59.5,60.0,0.0,289
98,2020-09-21,1015440,60579498,60.0,60.3,59.35,59.5,-0.5,371
99,2020-09-22,1259695,74307055,59.5,59.5,58.75,58.9,-0.6,617
100,2020-09-23,973152,57102918,58.9,59.0,58.45,58.75,-0.15,400
101,2020-09-24,2099291,120923694,57.95,58.1,57.4,57.45,-1.3,1291
102,2020-09-25,1244901,71555056,57.65,58.1,57.2,57.45,0.0,674
103,2020-09-28,1870596,108865704,57.65,58.4,57.65,58.3,0.85,397
104,2020-09-29,1174588,68601636,58.5,58.95,58.3,58.5,0.2,258
105,2020-09-30,1136590,66780978,58.6,58.95,58.6,58.75,0.25,216
106,2020-10-05,1843174,108273096,59.05,59.2,58.6,58.9,0.15,371
107,2020-10-06,2176205,129572102,59.5,59.65,59.2,59.55,0.65,560
108,2020-10-07,1691549,100972064,59.4,59.9,59.05,59.9,0.35,398
109,2020-10-08,2462298,148917800,60.2,60.6,60.1,60.55,0.65,866
110,2020-10-12,2221936,135606096,61.0,61.4,60.9,61.1,0.55,812
111,2020-10-13,1744254,106162011,61.35,61.45,60.5,60.95,-0.15,465
112,2020-10-14,1468935,89458262,60.95,61.15,60.75,60.75,-0.2,250
113,2020-10-15,1522732,91685719,60.75,60.75,60.05,60.4,-0.35,288
114,2020-10-16,1948889,117592734,60.2,60.7,60.0,60.1,-0.3,448
115,2020-10-19,1738168,105260885,59.8,60.7,59.8,60.6,0.5,354
116,2020-10-20,1631812,98885309,60.6,60.7,60.5,60.5,-0.1,208
117,2020-10-21,1079896,65398543,60.65,60.8,60.35,60.4,-0.1,199
118,2020-10-22,1442615,87094042,60.3,60.55,60.25,60.55,0.15,178
119,2020-10-23,1449264,87788681,60.8,60.9,60.5,60.6,0.05,166
120,2020-10-26,1506734,91412421,60.65,60.9,60.5,60.65,0.05,443
121,2020-10-27,1487432,89620846,60.35,60.35,60.15,60.3,-0.35,360
122,2020-10-28,1650822,98985893,60.25,60.25,59.85,59.95,-0.35,508
123,2020-10-29,1865009,110454637,59.3,59.4,58.7,59.25,-0.7,750
124,2020-10-30,2353988,138803108,59.2,59.2,58.75,58.8,-0.45,757
125,2020-11-02,1911280,112242184,58.9,59.05,58.45,59.0,0.2,653
126,2020-11-03,1838051,109921108,59.3,59.95,59.3,59.85,0.85,409
127,2020-11-04,1339563,81091820,60.0,60.75,59.85,60.7,0.85,545
128,2020-11-05,1761703,106814103,60.7,60.8,60.45,60.75,0.05,482
129,2020-11-06,1909068,116487329,60.9,61.25,60.85,61.0,0.25,691
130,2020-11-09,1871297,115420442,61.6,62.0,61.5,61.75,0.75,760
131,2020-11-10,1832947,112522320,61.75,61.75,61.15,61.5,-0.25,689
132,2020-11-11,2043110,126784275,61.4,62.15,61.4,62.15,0.65,699
133,2020-11-12,1224623,76299528,62.45,62.55,62.15,62.35,0.2,497
134,2020-11-13,2013681,125623703,62.3,62.5,62.1,62.5,0.15,527
135,2020-11-16,2781104,178111386,63.15,64.65,63.15,64.5,2.0,1369
136,2020-11-17,2676135,171210322,64.65,65.2,63.7,63.7,0.0,1277
137,2020-11-18,1845390,118670515,63.7,64.5,63.7,64.5,0.8,691
138,2020-11-19,1874198,120394408,64.45,64.45,64.05,64.2,-0.3,708
139,2020-11-20,2020190,129365951,64.0,64.15,63.9,64.0,-0.2,609
140,2020-11-23,1826650,118242568,64.3,65.15,64.3,64.8,0.8,717
141,2020-11-24,2208188,142950863,64.9,64.95,64.5,64.55,-0.25,764
142,2020-11-25,2145750,137680899,64.9,64.9,63.95,63.95,-0.6,924
143,2020-11-26,2325952,149677988,64.0,64.7,64.0,64.45,0.5,785
144,2020-11-27,1781109,114589039,64.45,64.6,64.2,64.45,0.0,462
145,2020-11-30,2328119,149311448,64.65,64.8,63.65,63.65,-0.8,1077
146,2020-12-01,1111700,71275398,63.9,64.25,63.7,64.15,0.5,536
147,2020-12-02,1340116,86713800,64.55,64.85,64.4,64.8,0.65,520
148,2020-12-03,2255614,146226316,64.95,65.15,64.55,64.8,0.0,560
149,2020-12-04,1562911,102352999,64.85,65.7,64.85,65.7,0.9,845
150,2020-12-07,2795038,185159839,66.55,66.65,65.95,66.45,0.75,1221
151,2020-12-08,1940012,130113606,66.5,67.45,66.25,67.3,0.85,917
152,2020-12-09,1559665,105148161,67.35,67.6,67.25,67.3,0.0,834
153,2020-12-10,2764199,183945302,67.0,67.05,66.3,66.65,-0.65,1501
